keycode,HD,PPD,RPD,RRD,user
66,0.0477297306060791,0.5526373386383057,0.5049076080322266,0.5814094543457031,Alexander
76,0.0765018463134765,0.1370630264282226,0.060561180114746,0.1625065803527832,Alexander
84,0.1019454002380371,0.2220795154571533,0.1201341152191162,0.2315413951873779,Alexander
81,0.1114072799682617,0.2706232070922851,0.1592159271240234,0.2299470901489257,Alexander
89,0.0707311630249023,0.2108805179595947,0.1401493549346923,0.2564411163330078,Alexander
83,0.1162917613983154,0.1766493320465088,0.0603575706481933,0.1742911338806152,Alexander
84,0.1139335632324218,0.2193164825439453,0.1053829193115234,0.2112114429473877,Alexander
32,0.1058285236358642,0.2426245212554931,0.1367959976196289,0.2184092998504638,Alexander
67,0.0816133022308349,0.1602187156677246,0.0786054134368896,0.1365337371826172,Alexander
74,0.0579283237457275,0.1203882694244384,0.0624599456787109,0.1204726696014404,Alexander
74,0.0580127239227294,0.5178499221801758,0.4598371982574463,0.5340502262115479,Alexander
188,0.0742130279541015,0.2063827514648437,0.1321697235107422,0.1933116912841797,Alexander
72,0.0611419677734375,0.1265285015106201,0.0653865337371826,0.1794154644012451,Alexander
70,0.1140289306640625,0.2007825374603271,0.0867536067962646,0.1615803241729736,Alexander
186,0.0748267173767089,0.1342430114746093,0.0594162940979003,0.1454222202301025,Alexander
84,0.0860059261322021,0.1617116928100586,0.0757057666778564,0.1456310749053955,Alexander
89,0.069925308227539,0.1749954223632812,0.1050701141357421,0.1901731491088867,Alexander
66,0.0851030349731445,0.0871012210845947,0.0019981861114501,0.1357021331787109,Alexander
90,0.1337039470672607,0.187934398651123,0.0542304515838623,0.1834931373596191,Alexander
32,0.1292626857757568,0.1313471794128418,0.0020844936370849,0.1789286136627197,Alexander
68,0.1768441200256347,0.1182796955108642,-0.0585644245147705,0.09352707862854,Alexander
83,0.1520915031433105,0.2951259613037109,0.1430344581604004,0.2695930004119873,Alexander
67,0.1265585422515869,0.3581087589263916,0.2315502166748047,0.3167293071746826,Alexander
73,0.0851790904998779,0.1554839611053466,0.0703048706054687,0.1838312149047851,Alexander
84,0.1135263442993164,0.1146109104156494,0.001084566116333,0.0524814128875732,Alexander
85,0.0513968467712402,0.1652150154113769,0.1138181686401367,0.1810033321380615,Alexander
74,0.0671851634979248,0.1318435668945312,0.0646584033966064,0.1919362545013427,Alexander
32,0.1272778511047363,0.2868330478668213,0.1595551967620849,0.2340881824493408,Alexander
71,0.0745329856872558,0.179267406463623,0.1047344207763671,0.1833112239837646,Alexander
74,0.0785768032073974,0.3772220611572265,0.2986452579498291,0.360889196395874,Alexander
72,0.0622439384460449,0.1207344532012939,0.058490514755249,0.1936855316162109,Alexander
90,0.1351950168609619,0.1910748481750488,0.0558798313140869,0.1312892436981201,Alexander
76,0.0754094123840332,0.111086368560791,0.0356769561767578,0.1933083534240722,Alexander
82,0.1576313972473144,0.1081821918487548,-0.0494492053985595,0.0632824897766113,Alexander
70,0.1127316951751709,0.6294682025909424,0.5167365074157715,0.5622372627258301,Alexander
191,0.0455007553100585,0.2319972515106201,0.1864964962005615,0.2895712852478027,Alexander
32,0.1030747890472412,0.2166686058044433,0.1135938167572021,0.2367448806762695,Alexander
70,0.1231510639190673,0.205472707748413,0.0823216438293457,0.1969711780548095,Alexander
32,0.1146495342254638,0.1814222335815429,0.0667726993560791,0.1277816295623779,Alexander
78,0.0610089302062988,0.1040599346160888,0.04305100440979,0.1737298965454101,Alexander
70,0.1306788921356201,0.1326854228973388,0.0020065307617187,0.069606065750122,Alexander
82,0.0675995349884033,0.1812841892242431,0.1136846542358398,0.1918442249298095,Alexander
186,0.0781595706939697,0.0801610946655273,0.0020015239715576,0.1010177135467529,Alexander
84,0.0990161895751953,0.1485400199890136,0.0495238304138183,0.1877021789550781,Alexander
32,0.1381783485412597,0.7029786109924316,0.5648002624511719,0.6530201435089111,Alexander
89,0.0882198810577392,0.0902228355407714,0.0020029544830322,0.0973820686340332,Alexander
70,0.0953791141510009,0.1975054740905761,0.1021263599395752,0.2192630767822265,Alexander
88,0.1171367168426513,0.0619726181030273,-0.055164098739624,0.0725858211517334,Alexander
70,0.1277499198913574,0.1859996318817138,0.0582497119903564,0.132098913192749,Alexander
75,0.0738492012023925,0.1586847305297851,0.0848355293273925,0.1762483119964599,Alexander
74,0.0914127826690673,0.2027437686920166,0.1113309860229492,0.2575886249542236,Alexander
32,0.1462576389312744,0.3195796012878418,0.1733219623565673,0.2589259147644043,Alexander
71,0.0856039524078369,0.149271011352539,0.0636670589447021,0.1363701820373535,Alexander
74,0.0727031230926513,0.2201318740844726,0.1474287509918213,0.2689633369445801,Alexander
68,0.1215345859527587,0.2229526042938232,0.1014180183410644,0.2222304344177246,Alexander
67,0.1208124160766601,0.1702640056610107,0.0494515895843505,0.1627030372619629,Alexander
