user,keycode,event,time
nevova,72,Up,1649331996.543864
nevova,74,Down,1649331996.6238735
nevova,74,Up,1649331996.7278655
nevova,68,Down,1649331996.7838862
nevova,70,Down,1649331996.9199035
nevova,68,Up,1649331996.959906
nevova,89,Down,1649331996.9839082
nevova,70,Up,1649331997.0239077
nevova,89,Up,1649331997.0958989
nevova,66,Down,1649331997.2239227
nevova,66,Up,1649331997.3279324
nevova,190,Down,1649331997.8239565
nevova,190,Up,1649331997.9305277
nevova,32,Down,1649331998.0182283
nevova,32,Up,1649331998.1112962
nevova,71,Down,1649331998.1513028
nevova,71,Up,1649331998.2395327
nevova,74,Down,1649331998.2633111
nevova,74,Up,1649331998.3595421
nevova,80,Down,1649331998.5833337
nevova,80,Up,1649331998.6795537
nevova,66,Down,1649331998.8315816
nevova,66,Up,1649331998.9193685
nevova,87,Down,1649331998.9513535
nevova,87,Up,1649331999.0633767
nevova,66,Down,1649331999.0793624
nevova,66,Up,1649331999.1513848
nevova,66,Down,1649331999.191388
nevova,66,Up,1649331999.298472
nevova,32,Down,1649331999.4024816
nevova,32,Up,1649331999.506713
nevova,78,Down,1649331999.67736
nevova,78,Up,1649331999.769314
nevova,72,Down,1649331999.841326
nevova,72,Up,1649331999.9295514
nevova,84,Down,1649331999.9455068
nevova,84,Up,1649332000.0493248
nevova,188,Down,1649332000.213849
nevova,188,Up,1649332000.320114
nevova,69,Down,1649332000.4001255
nevova,69,Up,1649332000.5201342
nevova,190,Down,1649332000.6364248
nevova,190,Up,1649332000.7482657
nevova,78,Down,1649332000.948287
nevova,78,Up,1649332001.04429
nevova,32,Down,1649332001.1806908
nevova,32,Up,1649332001.2926984
nevova,74,Down,1649332001.8767734
nevova,74,Up,1649332001.974394
nevova,71,Down,1649332002.2224102
nevova,71,Up,1649332002.3184197
nevova,72,Down,1649332002.3424206
nevova,72,Up,1649332002.4306426
nevova,84,Down,1649332002.6384447
nevova,84,Up,1649332002.750455
nevova,76,Down,1649332002.8224604
nevova,76,Up,1649332002.9264543
nevova,75,Down,1649332003.0944698
nevova,84,Down,1649332003.1904936
nevova,75,Up,1649332003.1904936
nevova,84,Up,1649332003.3072906
nevova,89,Down,1649332004.0250542
nevova,89,Up,1649332004.1213472
nevova,66,Down,1649332004.241079
nevova,66,Up,1649332004.337099
nevova,90,Down,1649332004.3693287
nevova,90,Up,1649332004.5051136
nevova,32,Down,1649332005.3682895
nevova,32,Up,1649332005.4722996
nevova,66,Down,1649332005.544284
nevova,66,Up,1649332005.6403143
nevova,32,Down,1649332005.6803145
nevova,32,Up,1649332005.776324
nevova,69,Down,1649332006.2848363
nevova,69,Up,1649332006.3886192
nevova,78,Down,1649332006.412623
nevova,78,Up,1649332006.5168154
nevova,74,Down,1649332006.5566382
nevova,74,Up,1649332006.6606266
nevova,88,Down,1649332006.7646542
nevova,88,Up,1649332006.8564088
nevova,89,Down,1649332006.952398
nevova,89,Up,1649332007.0484235
nevova,84,Down,1649332007.1154594
nevova,84,Up,1649332007.2194679
nevova,89,Down,1649332007.2834923
nevova,89,Up,1649332007.38543
nevova,66,Down,1649332007.5294428
nevova,66,Up,1649332007.6383412
nevova,90,Down,1649332007.6862502
nevova,32,Down,1649332007.8244796
nevova,90,Up,1649332007.8324819
nevova,32,Up,1649332007.9284916
nevova,89,Down,1649332008.737087
nevova,89,Up,1649332008.8371089
nevova,74,Down,1649332008.9331026
nevova,74,Up,1649332009.0211315
nevova,68,Down,1649332009.117141
nevova,83,Down,1649332009.197145
nevova,68,Up,1649332009.293134
nevova,83,Up,1649332009.3651552
nevova,219,Down,1649332009.445143
nevova,219,Up,1649332009.5491712
nevova,32,Down,1649332009.5653918
nevova,32,Up,1649332009.7172105
nevova,71,Down,1649332009.7891753
nevova,71,Up,1649332009.8824553
nevova,72,Down,1649332009.8904576
nevova,72,Up,1649332009.9944587
nevova,84,Down,1649332010.0424476
nevova,84,Up,1649332010.1410332
nevova,76,Down,1649332010.3436184
nevova,76,Up,1649332010.4396298
nevova,75,Down,1649332010.9038928
nevova,75,Up,1649332011.0156791
nevova,74,Down,1649332011.0636852
nevova,74,Up,1649332011.15969
nevova,186,Down,1649332011.4557152
nevova,186,Up,1649332011.554698
nevova,84,Down,1649332011.6106827
nevova,84,Up,1649332011.714707
nevova,89,Down,1649332011.7386935
nevova,89,Up,1649332011.8254867
nevova,66,Down,1649332011.913493
nevova,66,Up,1649332012.0095043
nevova,81,Down,1649332012.30476
nevova,81,Up,1649332012.385004
nevova,191,Down,1649332012.481003
nevova,191,Up,1649332012.568797
nevova,89,Down,1649332019.3332095
nevova,89,Up,1649332019.429217
nevova,8,Down,1649332019.7012832
nevova,8,Up,1649332019.8165379
nevova,72,Down,1649332020.087959
nevova,65,Down,1649332020.1761866
nevova,72,Up,1649332020.18419
nevova,65,Up,1649332020.2879734
nevova,84,Down,1649332020.36329
nevova,84,Up,1649332020.4592981
nevova,72,Down,1649332020.8593311
nevova,72,Up,1649332020.963323
nevova,32,Down,1649332021.0036852
nevova,32,Up,1649332021.1038287
nevova,73,Down,1649332022.1359155
nevova,73,Up,1649332022.2401483
nevova,84,Down,1649332022.367935
nevova,84,Up,1649332022.4663641
nevova,83,Down,1649332023.114434
nevova,83,Up,1649332023.202703
nevova,69,Down,1649332023.338483
nevova,69,Up,1649332023.4345133
nevova,76,Down,1649332024.0534875
nevova,76,Up,1649332024.1574774
nevova,70,Down,1649332024.1894977
nevova,70,Up,1649332024.309506
nevova,32,Down,1649332024.405517
nevova,32,Up,1649332024.5095093
nevova,68,Down,1649332025.3441694
nevova,68,Up,1649332025.459178
nevova,82,Down,1649332025.8754358
nevova,82,Up,1649332025.9714427
nevova,89,Down,1649332026.5576456
nevova,89,Up,1649332026.6534133
nevova,32,Down,1649332026.7734213
nevova,32,Up,1649332026.9334383
nevova,65,Down,1649332027.3604677
nevova,65,Up,1649332027.488495
nevova,80,Down,1649332027.8408275
nevova,80,Up,1649332027.9316244
nevova,80,Down,1649332027.9716449
nevova,80,Up,1649332028.067654
nevova,69,Down,1649332028.075654
nevova,69,Up,1649332028.1796656
nevova,65,Down,1649332028.3556757
nevova,65,Up,1649332028.4756858
nevova,82,Down,1649332028.4996722
nevova,82,Up,1649332028.603678
nevova,32,Down,1649332028.9592943
nevova,32,Up,1649332029.1515353
nevova,77,Down,1649332029.72259
nevova,77,Up,1649332029.8425794
nevova,65,Down,1649332029.897693
nevova,65,Up,1649332030.0286226
nevova,78,Down,1649332030.076836
nevova,78,Up,1649332030.1778061
nevova,32,Down,1649332030.2898183
nevova,32,Up,1649332030.3698258
nevova,69,Down,1649332032.5219433
nevova,69,Up,1649332032.5939648
nevova,65,Down,1649332032.6739745
nevova,65,Up,1649332032.7809618
nevova,82,Down,1649332032.8373208
nevova,82,Up,1649332032.9263153
nevova,84,Down,1649332033.0943255
nevova,84,Up,1649332033.1825597
nevova,72,Down,1649332033.488846
nevova,72,Up,1649332033.5768306
nevova,32,Down,1649332033.6248572
nevova,32,Up,1649332033.7608645
nevova,70,Down,1649332034.0568893
nevova,70,Up,1649332034.184905
nevova,79,Down,1649332034.827382
nevova,79,Up,1649332034.9313908
nevova,85,Down,1649332035.5914295
nevova,85,Up,1649332035.689077
nevova,82,Down,1649332036.057131
nevova,82,Up,1649332036.153151
nevova,84,Down,1649332036.2273555
nevova,84,Up,1649332036.3233669
nevova,72,Down,1649332036.6033928
nevova,72,Up,1649332036.6994047
nevova,32,Down,1649332036.771414
nevova,32,Up,1649332036.9154258
nevova,85,Down,1649332037.8668823
nevova,85,Up,1649332037.9545398
nevova,78,Down,1649332038.1998544
nevova,78,Up,1649332038.2958615
nevova,68,Down,1649332038.647887
nevova,68,Up,1649332038.743899
nevova,69,Down,1649332038.811277
nevova,69,Up,1649332038.9313042
nevova,82,Down,1649332038.9953084
nevova,82,Up,1649332039.1073048
nevova,32,Down,1649332039.1313066
nevova,32,Up,1649332039.2353299
nevova,71,Down,1649332039.3073363
nevova,71,Up,1649332039.4113438
nevova,73,Down,1649332039.4833353
nevova,73,Up,1649332039.563361
nevova,86,Down,1649332039.811363
nevova,86,Up,1649332039.907386
nevova,69,Down,1649332039.9393885
nevova,69,Up,1649332040.059148
nevova,32,Down,1649332040.132741
nevova,32,Up,1649332040.2367551
nevova,8,Down,1649332041.0768228
nevova,8,Up,1649332041.212836
nevova,191,Down,1649332041.3728673
nevova,191,Up,1649332041.4688768
nevova,32,Down,1649332041.5843096
nevova,32,Up,1649332041.6725554
nevova,71,Down,1649332041.9365695
nevova,71,Up,1649332042.0403614
nevova,82,Down,1649332042.1365936
nevova,82,Up,1649332042.2163794
nevova,69,Down,1649332042.2403827
nevova,69,Up,1649332042.3523712
nevova,69,Down,1649332042.4003828
nevova,69,Up,1649332042.4964023
nevova,77,Down,1649332042.7044237
nevova,77,Up,1649332042.8004081
nevova,8,Down,1649332043.0748363
nevova,78,Down,1649332043.1868455
nevova,8,Up,1649332043.194848
nevova,78,Up,1649332043.3228602
nevova,8,Down,1649332043.9229116
nevova,8,Up,1649332044.035144
nevova,8,Down,1649332044.0589242
nevova,8,Up,1649332044.1629162
nevova,8,Down,1649332044.1949346
nevova,8,Up,1649332044.2934864
nevova,8,Down,1649332044.3254716
nevova,8,Up,1649332044.4214995
nevova,8,Down,1649332044.4615011
nevova,8,Up,1649332044.5657806
nevova,8,Down,1649332044.6055105
nevova,8,Up,1649332044.7095053
nevova,8,Down,1649332044.7495284
nevova,8,Up,1649332044.8695207
nevova,190,Down,1649332045.5460613
nevova,190,Up,1649332045.6526525
nevova,32,Down,1649332045.796245
