keycode,event,time
69,Down,1652563481.2559807
69,Up,1652563481.32598
83,Down,1652563481.475698
83,Up,1652563481.5484502
73,Down,1652563481.762209
73,Up,1652563481.8463073
82,Down,1652563482.0380473
82,Up,1652563482.1246505
69,Down,1652563482.354902
69,Up,1652563482.447888
83,Down,1652563482.7481241
83,Up,1652563482.8314018
32,Down,1652563482.9852147
32,Up,1652563483.0856657
84,Down,1652563483.2995815
84,Up,1652563483.3818579
79,Down,1652563483.5402002
79,Up,1652563483.621082
32,Down,1652563483.9088507
32,Up,1652563484.0178385
67,Down,1652563484.1107848
67,Up,1652563484.2056634
82,Down,1652563484.328824
82,Up,1652563484.408811
69,Down,1652563484.5538893
69,Up,1652563484.6213589
69,Down,1652563484.880346
69,Up,1652563484.9546921
80,Down,1652563485.233296
80,Up,1652563485.314323
32,Down,1652563485.5393524
32,Up,1652563485.629837
73,Down,1652563485.9127572
73,Up,1652563486.002883
78,Down,1652563486.1698642
32,Down,1652563486.2740123
78,Up,1652563486.3066614
32,Up,1652563486.4026015
66,Down,1652563486.5367315
66,Up,1652563486.619105
69,Down,1652563486.7398493
69,Up,1652563486.8201368
84,Down,1652563486.9697833
84,Up,1652563487.0397394
87,Down,1652563487.4765654
87,Up,1652563487.55568
69,Down,1652563487.714133
69,Up,1652563487.7797775
69,Down,1652563487.8837707
69,Up,1652563487.9567697
78,Down,1652563488.3948245
78,Up,1652563488.483709
32,Down,1652563488.5826705
32,Up,1652563488.741339
84,Down,1652563488.9198866
84,Up,1652563489.0014808
72,Down,1652563489.059602
72,Up,1652563489.14772
69,Down,1652563489.4769516
69,Up,1652563489.5728552
32,Down,1652563489.6627479
32,Up,1652563489.7667856
77,Down,1652563490.2081373
77,Up,1652563490.2896056
69,Down,1652563490.5844264
69,Up,1652563490.6626987
78,Down,1652563490.9373026
32,Down,1652563491.029011
78,Up,1652563491.0677125
32,Up,1652563491.1341493
87,Down,1652563491.6682281
87,Up,1652563491.757401
72,Down,1652563492.0779653
72,Up,1652563492.1657336
79,Down,1652563492.761714
79,Up,1652563492.8506575
32,Down,1652563492.9951587
32,Up,1652563493.139826
87,Down,1652563493.2868598
87,Up,1652563493.3760552
79,Down,1652563493.589295
79,Up,1652563493.679405
82,Down,1652563494.022151
82,Up,1652563494.0990777
75,Down,1652563494.5908234
75,Up,1652563494.6889896
32,Down,1652563494.778056
32,Up,1652563494.9064083
87,Down,1652563495.2507133
87,Up,1652563495.330358
73,Down,1652563495.7147024
73,Up,1652563495.8017309
84,Down,1652563496.0637145
84,Up,1652563496.2059565
72,Down,1652563496.3516836
72,Up,1652563496.4579964
32,Down,1652563496.9446638
32,Up,1652563497.0842369
84,Down,1652563497.3618577
84,Up,1652563497.4421856
72,Down,1652563497.5402174
72,Up,1652563497.6365805
69,Down,1652563498.5688095
69,Up,1652563498.6557615
73,Down,1652563498.7865372
73,Up,1652563498.888049
82,Down,1652563499.1431558
82,Up,1652563499.218729
32,Down,1652563499.3902256
32,Up,1652563499.4766088
72,Down,1652563499.8755412
72,Up,1652563499.9651022
65,Down,1652563500.0919695
65,Up,1652563500.2406306
78,Down,1652563500.6436338
78,Up,1652563500.71865
68,Down,1652563501.7170436
68,Up,1652563501.80205
32,Down,1652563502.4709566
32,Up,1652563502.573454
83,Down,1652563503.3917086
83,Up,1652563503.4937024
190,Down,1652563504.219541
190,Up,1652563504.308677
32,Down,1652563504.5148058
32,Up,1652563504.6188118
77,Down,1652563504.9749916
77,Up,1652563505.058212
82,Down,1652563505.4458542
82,Up,1652563505.5430465
190,Down,1652563506.454771
190,Up,1652563506.5376315
32,Down,1652563506.596752
32,Up,1652563506.7303734
66,Down,1652563507.154076
66,Up,1652563507.25781
73,Down,1652563507.3923428
73,Up,1652563507.4653957
78,Down,1652563507.6727269
78,Up,1652563507.7468214
71,Down,1652563507.9032843
71,Up,1652563507.9756527
76,Down,1652563508.1710904
76,Up,1652563508.261783
69,Down,1652563508.5091264
69,Up,1652563508.5957394
89,Down,1652563509.1417856
89,Up,1652563509.2318654
32,Down,1652563509.3847241
32,Up,1652563509.4837012
73,Down,1652563509.9612596
73,Up,1652563510.063677
78,Down,1652563510.2229292
78,Up,1652563510.3039346
84,Down,1652563510.408964
84,Up,1652563510.489313
69,Down,1652563510.700365
69,Up,1652563510.7673597
78,Down,1652563511.064693
78,Up,1652563511.1500869
68,Down,1652563511.3141923
68,Up,1652563511.3959575
69,Down,1652563511.6028914
69,Up,1652563511.6817262
68,Down,1652563511.934681
68,Up,1652563512.021163
32,Down,1652563512.1699176
32,Up,1652563512.2797058
73,Down,1652563512.528424
73,Up,1652563512.6248345
84,Down,1652563512.8037107
84,Up,1652563512.8915997
32,Down,1652563512.9526794
32,Up,1652563513.0651646
76,Down,1652563513.1883254
76,Up,1652563513.2971356
73,Down,1652563513.469565
73,Up,1652563513.5616958
75,Down,1652563513.77873
75,Up,1652563513.8667164
69,Down,1652563513.9153836
69,Up,1652563513.9861772
87,Down,1652563514.4889054
87,Up,1652563514.5674188
73,Down,1652563514.7899847
73,Up,1652563514.88006
83,Down,1652563515.4620385
83,Up,1652563515.549317
69,Down,1652563516.065733
69,Up,1652563516.1398237
188,Down,1652563516.8927603
188,Up,1652563517.0067413
32,Down,1652563517.304751
32,Up,1652563517.4156692
65,Down,1652563517.932651
65,Up,1652563518.0359244
78,Down,1652563518.315756
78,Up,1652563518.411754
68,Down,1652563518.8955235
68,Up,1652563518.9731126
32,Down,1652563519.4114954
32,Up,1652563519.5238485
83,Down,1652563519.797651
83,Up,1652563519.8731704
79,Down,1652563520.074792
79,Up,1652563520.1622348
77,Down,1652563520.3244178
77,Up,1652563520.4184053
69,Down,1652563520.8333344
69,Up,1652563520.907212
84,Down,1652563521.0887299
84,Up,1652563521.142737
73,Down,1652563521.2947073
73,Up,1652563521.395915
77,Down,1652563521.5263035
77,Up,1652563521.631375
69,Down,1652563521.7833958
69,Up,1652563521.8677247
83,Down,1652563522.2456608
83,Up,1652563522.3294356
32,Down,1652563522.5432239
32,Up,1652563522.6564212
77,Down,1652563522.9801316
77,Up,1652563523.0688024
65,Down,1652563523.1650536
65,Up,1652563523.288911
68,Down,1652563523.4776855
68,Up,1652563523.5802538
69,Down,1652563523.817863
69,Up,1652563523.8922622
32,Down,1652563524.2960234
32,Up,1652563524.4058242
67,Down,1652563524.5883956
67,Up,1652563524.6741016
72,Down,1652563524.7898636
72,Up,1652563524.85984
79,Down,1652563525.1936822
79,Up,1652563525.2966518
73,Down,1652563525.4342585
73,Up,1652563525.5198424
67,Down,1652563525.621469
67,Up,1652563525.735477
69,Down,1652563526.1208484
69,Up,1652563526.208767
32,Down,1652563526.3747208
32,Up,1652563526.4630373
79,Down,1652563526.7629087
79,Up,1652563526.8460207
70,Down,1652563527.53566
70,Up,1652563527.6476388
32,Down,1652563527.7072806
32,Up,1652563527.8507853
72,Down,1652563527.931659
72,Up,1652563527.9956717
73,Down,1652563528.1056492
73,Up,1652563528.20098
83,Down,1652563528.3778431
83,Up,1652563528.4678576
32,Down,1652563528.6205466
32,Up,1652563528.7498493
67,Down,1652563528.8686368
67,Up,1652563528.9707415
79,Down,1652563529.075922
79,Up,1652563529.170969
85,Down,1652563529.37571
85,Up,1652563529.491183
78,Down,1652563529.62303
78,Up,1652563529.708769
84,Down,1652563529.936799
84,Up,1652563530.0107338
82,Down,1652563530.3966384
82,Up,1652563530.4601696
89,Down,1652563530.7858446
89,Up,1652563530.8678434
89,Down,1652563533.3848605
89,Up,1652563533.4548597
79,Down,1652563541.9280062
79,Up,1652563542.013075
78,Down,1652563542.295211
78,Up,1652563542.3917716
32,Down,1652563542.618961
32,Up,1652563542.726894
84,Down,1652563543.1867642
84,Up,1652563543.2598202
72,Down,1652563543.3409336
72,Up,1652563543.4232578
69,Down,1652563543.623919
69,Up,1652563543.7078242
32,Down,1652563543.8939013
