user,time,button,state,x,y
Nikita,1649452729.4465587,NoButton,Move,744,549
Nikita,1649452729.4475594,NoButton,Move,743,542
Nikita,1649452729.4485588,NoButton,Move,743,538
Nikita,1649452729.449562,NoButton,Move,743,533
Nikita,1649452729.450561,NoButton,Move,742,532
Nikita,1649452729.4515584,NoButton,Move,742,528
Nikita,1649452729.452557,NoButton,Move,740,519
Nikita,1649452729.453558,NoButton,Move,740,515
Nikita,1649452729.4545586,NoButton,Move,740,511
Nikita,1649452729.4555595,NoButton,Move,739,507
Nikita,1649452729.4565587,NoButton,Move,739,504
Nikita,1649452729.457558,NoButton,Move,739,500
Nikita,1649452729.458557,NoButton,Move,738,497
Nikita,1649452729.4595578,NoButton,Move,738,493
Nikita,1649452729.4605594,NoButton,Move,736,486
Nikita,1649452729.4615583,NoButton,Move,736,485
Nikita,1649452729.4625585,NoButton,Move,736,482
Nikita,1649452729.4635615,NoButton,Move,735,474
Nikita,1649452729.4645603,NoButton,Move,734,470
Nikita,1649452729.4655612,NoButton,Move,734,466
Nikita,1649452729.4665592,NoButton,Move,734,464
Nikita,1649452729.4675605,NoButton,Move,732,460
Nikita,1649452729.4685583,NoButton,Move,732,456
Nikita,1649452729.4695582,NoButton,Move,732,452
Nikita,1649452729.4705582,NoButton,Move,731,448
Nikita,1649452729.4715586,NoButton,Move,731,446
Nikita,1649452729.4725587,NoButton,Move,730,442
Nikita,1649452729.4735584,NoButton,Move,730,440
Nikita,1649452729.474559,NoButton,Move,730,438
Nikita,1649452729.475559,NoButton,Move,728,434
Nikita,1649452729.4765596,NoButton,Move,728,430
Nikita,1649452729.4775577,NoButton,Move,728,427
Nikita,1649452729.4785576,NoButton,Move,727,425
Nikita,1649452729.4795585,NoButton,Move,727,423
Nikita,1649452729.4805603,NoButton,Move,727,419
Nikita,1649452729.48156,NoButton,Move,727,418
Nikita,1649452729.48256,NoButton,Move,727,416
Nikita,1649452729.4835584,NoButton,Move,726,413
Nikita,1649452729.4845595,NoButton,Move,726,409
Nikita,1649452729.4855583,NoButton,Move,726,405
Nikita,1649452729.486558,NoButton,Move,726,403
