keycode,HD,PPD,RPD,RRD,user
20,0.13587570190429688,0.2911660671234131,0.1552903652191162,0.23447084426879883,Alex
66,0.07918047904968262,0.15416359901428223,0.07498311996459961,0.16888976097106934,Alex
20,0.09390664100646973,0.36521029472351074,0.271303653717041,0.3570976257324219,Alex
76,0.08579397201538086,2.0841050148010254,1.9983110427856445,2.095062017440796,Alex
84,0.09675097465515137,0.11570048332214355,0.018949508666992188,0.1037435531616211,Alex
81,0.0847940444946289,0.0478672981262207,-0.0369267463684082,0.06644225120544434,Alex
89,0.10336899757385254,0.19257020950317383,0.08920121192932129,0.16498851776123047,Alex
83,0.07578730583190918,0.06980204582214355,-0.005985260009765625,0.08377528190612793,Alex
84,0.08976054191589355,0.21642184257507324,0.1266613006591797,0.19946694374084473,Alex
32,0.07280564308166504,1.003847360610962,0.9310417175292969,1.0131478309631348,Alex
67,0.08210611343383789,0.20022058486938477,0.11811447143554688,0.19727396965026855,Alex
74,0.07915949821472168,0.11648249626159668,0.037322998046875,0.12706303596496582,Alex
74,0.08974003791809082,0.21111297607421875,0.12137293815612793,0.22786617279052734,Alex
188,0.10649323463439941,0.24671316146850586,0.14021992683410645,0.21210122108459473,Alex
72,0.07188129425048828,0.12789297103881836,0.05601167678833008,0.14423871040344238,Alex
70,0.0882270336151123,0.25792956352233887,0.16970252990722656,0.2584514617919922,Alex
186,0.08874893188476562,0.1427013874053955,0.05395245552062988,0.13294076919555664,Alex
84,0.07898831367492676,0.1420278549194336,0.06303954124450684,0.1448214054107666,Alex
89,0.08178186416625977,0.15532898902893066,0.0735471248626709,0.16820335388183594,Alex
66,0.09465622901916504,0.15968942642211914,0.0650331974029541,0.13408517837524414,Alex
90,0.06905198097229004,0.1555771827697754,0.08652520179748535,0.1668088436126709,Alex
32,0.08028364181518555,1.0866599082946777,1.0063762664794922,1.1074888706207275,Alex
68,0.10111260414123535,0.2040233612060547,0.10291075706481934,0.19361567497253418,Alex
83,0.09070491790771484,0.23772573471069336,0.14702081680297852,0.22301745414733887,Alex
67,0.07599663734436035,0.2833876609802246,0.20739102363586426,0.3025202751159668,Alex
73,0.09512925148010254,0.13192319869995117,0.03679394721984863,0.12399435043334961,Alex
84,0.08720040321350098,0.11104869842529297,0.023848295211791992,0.11688876152038574,Alex
85,0.09304046630859375,0.1339271068572998,0.040886640548706055,0.12003636360168457,Alex
74,0.07914972305297852,0.15193986892700195,0.07279014587402344,0.18496108055114746,Alex
32,0.11217093467712402,0.12513113021850586,0.012960195541381836,0.08959746360778809,Alex
71,0.07663726806640625,0.08002042770385742,0.003383159637451172,0.1092214584350586,Alex
74,0.10583829879760742,0.16098546981811523,0.05514717102050781,0.16002321243286133,Alex
72,0.10487604141235352,0.23806500434875488,0.13318896293640137,0.21185016632080078,Alex
90,0.07866120338439941,0.30278778076171875,0.22412657737731934,0.31935691833496094,Alex
76,0.0952303409576416,0.1661524772644043,0.0709221363067627,0.20839500427246094,Alex
82,0.13747286796569824,0.1975383758544922,0.060065507888793945,0.1851508617401123,Alex
70,0.12508535385131836,1.6623573303222656,1.5372719764709473,1.6535043716430664,Alex
191,0.11623239517211914,0.7747831344604492,0.6585507392883301,0.7615368366241455,Alex
32,0.10298609733581543,0.4802584648132324,0.377272367477417,0.47404932975769043,Alex
70,0.09677696228027344,0.08874034881591797,-0.008036613464355469,0.07023787498474121,Alex
32,0.07827448844909668,0.13292646408081055,0.05465197563171387,0.1398453712463379,Alex
78,0.08519339561462402,0.05883908271789551,-0.026354312896728516,0.05216097831726074,Alex
70,0.07851529121398926,0.19720864295959473,0.11869335174560547,0.2414078712463379,Alex
82,0.12271451950073242,0.2013092041015625,0.07859468460083008,0.17759394645690918,Alex
186,0.0989992618560791,0.11209464073181152,0.013095378875732422,0.09801650047302246,Alex
84,0.08492112159729004,0.17134594917297363,0.0864248275756836,0.15989446640014648,Alex
32,0.07346963882446289,1.1066160202026367,1.0331463813781738,1.1121265888214111,Alex
89,0.0789802074432373,0.08699703216552734,0.008016824722290039,0.10067915916442871,Alex
70,0.09266233444213867,0.4649684429168701,0.37230610847473145,0.4621872901916504,Alex
88,0.08988118171691895,0.22926068305969238,0.13937950134277344,0.22600913047790527,Alex
70,0.08662962913513184,0.1325085163116455,0.04587888717651367,0.12528228759765625,Alex
75,0.07940340042114258,0.1280503273010254,0.04864692687988281,0.1567690372467041,Alex
74,0.10812211036682129,0.2238318920135498,0.11570978164672852,0.2257699966430664,Alex
32,0.11006021499633789,0.6520721912384033,0.5420119762420654,0.638979434967041,Alex
71,0.09696745872497559,0.16027092933654785,0.06330347061157227,0.15414905548095703,Alex
74,0.09084558486938477,0.15867948532104492,0.06783390045166016,0.16727185249328613,Alex
68,0.09943795204162598,0.21908283233642578,0.1196448802947998,0.19794511795043945,Alex
67,0.07830023765563965,0.18499541282653809,0.10669517517089844,0.1883995532989502,Alex
84,0.08170437812805176,0.4003617763519287,0.31865739822387695,0.4064767360687256,Alex
76,0.08781933784484863,0.2506234645843506,0.16280412673950195,0.23797106742858887,Alex
89,0.07516694068908691,0.1140587329864502,0.03889179229736328,0.1378476619720459,Alex
84,0.09895586967468262,0.11590075492858887,0.01694488525390625,0.10286998748779297,Alex
68,0.08592510223388672,0.26679372787475586,0.18086862564086914,0.28050732612609863,Alex
89,0.09963870048522949,0.16372084617614746,0.06408214569091797,0.18476128578186035,Alex
74,0.12067914009094238,0.20888853073120117,0.08820939064025879,0.1827704906463623,Alex
81,0.09456110000610352,0.23662281036376953,0.14206171035766602,0.22583413124084473,Alex
32,0.08377242088317871,0.9892961978912354,0.9055237770080566,1.008108139038086,Alex
72,0.1025843620300293,0.1781632900238037,0.07557892799377441,0.16783952713012695,Alex
70,0.09226059913635254,0.19307255744934082,0.10081195831298828,0.2027299404144287,Alex
188,0.10191798210144043,0.2103748321533203,0.10845685005187988,0.2111811637878418,Alex
74,0.10272431373596191,0.14372491836547852,0.0410006046295166,0.15164756774902344,Alex
78,0.11064696311950684,0.18261051177978516,0.07196354866027832,0.1938621997833252,Alex
83,0.12189865112304688,0.1999650001525879,0.07806634902954102,0.1676652431488037,Alex
32,0.0895988941192627,1.213196039199829,1.1235971450805664,1.210451602935791,Alex
71,0.08685445785522461,0.0678243637084961,-0.019030094146728516,0.08612298965454102,Alex
74,0.10515308380126953,0.17856645584106445,0.07341337203979492,0.18778586387634277,Alex
32,0.11437249183654785,0.1851506233215332,0.07077813148498535,0.1586439609527588,Alex
65,0.08786582946777344,0.060999155044555664,-0.026866674423217773,0.07534599304199219,Alex
74,0.10221266746520996,0.15412569046020508,0.05191302299499512,0.14084601402282715,Alex
72,0.08893299102783203,0.19615626335144043,0.1072232723236084,0.19901728630065918,Alex
86,0.09179401397705078,0.20573997497558594,0.11394596099853516,0.2134106159210205,Alex
66,0.09946465492248535,0.2241506576538086,0.12468600273132324,0.21271729469299316,Alex
72,0.08803129196166992,0.1550445556640625,0.06701326370239258,0.15870881080627441,Alex
74,0.09169554710388184,0.15513253211975098,0.06343698501586914,0.1779944896697998,Alex
68,0.11455750465393066,0.2412428855895996,0.12668538093566895,0.2093982696533203,Alex
70,0.08271288871765137,0.6814792156219482,0.5987663269042969,0.6975173950195312,Alex
89,0.09875106811523438,0.15541553497314453,0.056664466857910156,0.14545702934265137,Alex
66,0.08879256248474121,0.41788530349731445,0.32909274101257324,0.408170223236084,Alex
190,0.07907748222351074,0.16305232048034668,0.08397483825683594,0.17663836479187012,Alex
32,0.09266352653503418,0.15153264999389648,0.058869123458862305,0.13808774948120117,Alex
71,0.07921862602233887,0.0633096694946289,-0.01590895652770996,0.05896353721618652,Alex
74,0.07487249374389648,0.3087434768676758,0.2338709831237793,0.3199350833892822,Alex
80,0.08606410026550293,0.31046032905578613,0.2243962287902832,0.33499598503112793,Alex
66,0.11059975624084473,0.19550156593322754,0.08490180969238281,0.16119790077209473,Alex
87,0.07629609107971191,0.07031512260437012,-0.005980968475341797,0.07679271697998047,Alex
66,0.08277368545532227,0.13762760162353516,0.05485391616821289,0.15181493759155273,Alex
66,0.09696102142333984,0.19418811798095703,0.09722709655761719,0.1941053867340088,Alex
32,0.0968782901763916,0.8536965847015381,0.7568182945251465,0.8525819778442383,Alex
78,0.0957636833190918,0.15263772010803223,0.05687403678894043,0.1449120044708252,Alex
72,0.08803796768188477,0.1159508228302002,0.02791285514831543,0.1365373134613037,Alex
