keycode,HD,PPD,RPD,RRD,user
57,6.198883056640625e-06,0.10584712028503418,0.10584092140197754,0.1058497428894043,lol
57,8.821487426757812e-06,0.2727642059326172,0.27275538444519043,0.332597017288208,lol
11,0.05984163284301758,0.6940267086029053,0.6341850757598877,0.6903131008148193,lol
37,0.05612802505493164,0.1478590965270996,0.09173107147216797,0.1799631118774414,lol
17,0.08823204040527344,0.22370386123657227,0.13547182083129883,0.2560901641845703,lol
12,0.12061834335327148,0.23376011848449707,0.11314177513122559,0.18197178840637207,lol
16,0.06883001327514648,0.09849405288696289,0.029664039611816406,0.1576709747314453,lol
1,0.1280069351196289,0.14006495475769043,0.012058019638061523,0.0885019302368164,lol
17,0.07644391059875488,0.34352803230285645,0.26708412170410156,0.36771321296691895,lol
49,0.10062909126281738,0.2094559669494629,0.10882687568664551,0.15722894668579102,lol
8,0.04840207099914551,0.12980294227600098,0.08140087127685547,0.14174699783325195,lol
38,0.060346126556396484,0.13820219039916992,0.07785606384277344,0.14200973510742188,lol
38,0.06415367126464844,0.2940359115600586,0.22988224029541016,0.2701272964477539,lol
43,0.04024505615234375,0.23280787467956543,0.19256281852722168,0.24084186553955078,lol
4,0.0482790470123291,0.2111349105834961,0.162855863571167,0.23491621017456055,lol
3,0.07206034660339355,1.5456812381744385,1.473620891571045,1.5259959697723389,lol
41,0.052375078201293945,0.08516311645507812,0.03278803825378418,0.10488200187683105,lol
17,0.07209396362304688,0.21699094772338867,0.1448969841003418,0.2052168846130371,lol
16,0.06031990051269531,0.19398188591003418,0.13366198539733887,0.2100050449371338,lol
11,0.07634305953979492,0.3850061893463135,0.30866312980651855,0.4168257713317871,lol
6,0.10816264152526855,0.3269157409667969,0.21875309944152832,0.351088285446167,lol
49,0.13233518600463867,0.2836451530456543,0.15130996704101562,0.2200939655303955,lol
2,0.06878399848937988,0.3666880130767822,0.29790401458740234,0.42149972915649414,lol
1,0.1235957145690918,0.3226749897003174,0.19907927513122559,0.29124021530151367,lol
8,0.09216094017028809,0.4590740203857422,0.3669130802154541,0.41510677337646484,lol
34,0.04819369316101074,0.10696196556091309,0.058768272399902344,0.17031216621398926,lol
17,0.11154389381408691,0.16016411781311035,0.04862022399902344,0.10068202018737793,lol
32,0.05206179618835449,0.16678977012634277,0.11472797393798828,0.195389986038208,lol
38,0.08066201210021973,0.11788702011108398,0.03722500801086426,0.16173005104064941,lol
49,0.12450504302978516,0.44613194465637207,0.3216269016265869,0.409804105758667,lol
5,0.08817720413208008,0.11688613891601562,0.028708934783935547,0.09681177139282227,lol
38,0.06810283660888672,0.15804290771484375,0.08994007110595703,0.14615225791931152,lol
4,0.05621218681335449,0.1300029754638672,0.0737907886505127,0.19797492027282715,lol
6,0.12418413162231445,0.160628080368042,0.03644394874572754,0.10509896278381348,lol
37,0.06865501403808594,0.11440801620483398,0.04575300216674805,0.19356608390808105,lol
15,0.147813081741333,0.10000085830688477,-0.04781222343444824,0.06429576873779297,lol
3,0.11210799217224121,1.902843952178955,1.7907359600067139,1.8426430225372314,lol
22,0.05190706253051758,0.33867311477661133,0.28676605224609375,0.40323805809020996,lol
49,0.11647200584411621,0.22528791427612305,0.10881590843200684,0.1970210075378418,lol
3,0.08820509910583496,0.2069382667541504,0.11873316764831543,0.20293092727661133,lol
49,0.0841977596282959,0.6220028400421143,0.5378050804138184,0.5941922664642334,lol
45,0.05638718605041504,0.12502598762512207,0.06863880157470703,0.16056585311889648,lol
3,0.09192705154418945,0.051991939544677734,-0.03993511199951172,0.07625102996826172,lol
15,0.11618614196777344,0.1520071029663086,0.035820960998535156,0.08807992935180664,lol
41,0.052258968353271484,0.08297610282897949,0.030717134475708008,0.11898207664489746,lol
17,0.08826494216918945,0.1469898223876953,0.05872488021850586,0.19895482063293457,lol
49,0.1402299404144287,0.606935977935791,0.4667060375213623,0.5269730091094971,lol
16,0.060266971588134766,0.10403704643249512,0.04377007484436035,0.15511131286621094,lol
3,0.11134123802185059,0.15401506423950195,0.04267382621765137,0.16711187362670898,lol
7,0.12443804740905762,0.08815312385559082,-0.0362849235534668,-0.0042231082916259766,lol
3,0.03206181526184082,0.07120895385742188,0.039147138595581055,0.07487797737121582,lol
3,0.035730838775634766,0.01207280158996582,-0.023658037185668945,0.04023408889770508,lol
40,0.06389212608337402,0.13251209259033203,0.06861996650695801,0.14095783233642578,lol
38,0.07233786582946777,0.10421299934387207,0.0318751335144043,0.13697004318237305,lol
49,0.10509490966796875,0.5658318996429443,0.4607369899749756,0.5129241943359375,lol
51,0.052187204360961914,0.30183911323547363,0.24965190887451172,0.3458719253540039,lol
51,0.09622001647949219,0.1700139045715332,0.07379388809204102,0.15410995483398438,lol
51,0.08031606674194336,0.13596391677856445,0.055647850036621094,0.15189385414123535,lol
51,0.09624600410461426,0.7371063232421875,0.6408603191375732,0.7010412216186523,lol
40,0.0601809024810791,0.14087581634521484,0.08069491386413574,0.15725088119506836,lol
38,0.07655596733093262,0.20095610618591309,0.12440013885498047,0.24474406242370605,lol
49,0.12034392356872559,0.3550388813018799,0.2346949577331543,0.3149549961090088,lol
5,0.08026003837585449,0.14275789260864258,0.062497854232788086,0.13508105278015137,lol
38,0.07258319854736328,0.28995823860168457,0.2173750400543213,0.35384488105773926,lol
2,0.13646984100341797,0.1943669319152832,0.057897090911865234,0.2256920337677002,lol
8,0.16779494285583496,0.15590977668762207,-0.01188516616821289,0.1163339614868164,lol
17,0.1282191276550293,0.5450561046600342,0.4168369770050049,0.45691514015197754,lol
37,0.040078163146972656,0.39489293098449707,0.3548147678375244,0.41911911964416504,lol
16,0.06430435180664062,0.07987117767333984,0.015566825866699219,0.09220457077026367,lol
17,0.07663774490356445,0.24709606170654297,0.17045831680297852,0.2666764259338379,lol
2,0.09621810913085938,0.13293790817260742,0.03671979904174805,0.10907483100891113,lol
16,0.07235503196716309,0.15810704231262207,0.08575201034545898,0.17704987525939941,lol
38,0.09129786491394043,0.08815598487854004,-0.0031418800354003906,0.10883617401123047,lol
12,0.11197805404663086,0.5427289009094238,0.43075084686279297,0.5507998466491699,lol
49,0.12004899978637695,0.29909205436706543,0.17904305458068848,0.23922204971313477,lol
4,0.06017899513244629,0.12193107604980469,0.0617520809173584,0.14199399948120117,lol
3,0.08024191856384277,0.16899609565734863,0.08875417709350586,0.14509820938110352,lol
43,0.056344032287597656,0.19801068305969238,0.14166665077209473,0.19791173934936523,lol
38,0.05624508857727051,0.13708901405334473,0.08084392547607422,0.1728360652923584,lol
45,0.09199213981628418,0.09263420104980469,0.0006420612335205078,0.11195492744445801,lol
1,0.1113128662109375,0.46116089820861816,0.34984803199768066,0.4580569267272949,lol
49,0.10820889472961426,0.20208382606506348,0.09387493133544922,0.1823902130126953,lol
5,0.0885152816772461,0.15198016166687012,0.06346487998962402,0.13964581489562988,lol
38,0.07618093490600586,0.11194205284118652,0.035761117935180664,0.11607503890991211,lol
49,0.08031392097473145,0.22894692420959473,0.14863300323486328,0.2610180377960205,lol
0,0.11238503456115723,0.12827205657958984,0.015887022018432617,0.09206891059875488,lol
38,0.07618188858032227,0.18676209449768066,0.1105802059173584,0.16688823699951172,lol
4,0.05630803108215332,0.6649680137634277,0.6086599826812744,0.6849207878112793,lol
9,0.07626080513000488,0.11101889610290527,0.03475809097290039,0.10310816764831543,lol
11,0.06835007667541504,0.1759629249572754,0.10761284828186035,0.17194390296936035,lol
4,0.0643310546875,0.15196013450622559,0.08762907981872559,0.1795032024383545,lol
38,0.0918741226196289,0.07610297203063965,-0.015771150588989258,0.08803772926330566,lol
2,0.10380887985229492,0.06398200988769531,-0.03982686996459961,0.049508094787597656,lol
3,0.08933496475219727,0.07600593566894531,-0.013329029083251953,0.03493785858154297,lol
16,0.04826688766479492,0.14299893379211426,0.09473204612731934,0.16699004173278809,lol
11,0.07225799560546875,0.6772711277008057,0.6050131320953369,0.6529982089996338,lol
47,0.047985076904296875,0.1787581443786621,0.13077306747436523,0.2667107582092285,lol
49,0.13593769073486328,0.5098729133605957,0.3739352226257324,0.446134090423584,lol
5,0.07219886779785156,0.09299397468566895,0.020795106887817383,0.09305119514465332,lol
38,0.07225608825683594,0.3523447513580322,0.2800886631011963,0.32401204109191895,lol
35,0.043923377990722656,0.22955012321472168,0.18562674522399902,0.24992585182189941,lol
11,0.06429910659790039,0.11905217170715332,0.05475306510925293,0.11866378784179688,lol
13,0.06391072273254395,0.07593107223510742,0.012020349502563477,0.08051609992980957,lol
11,0.0684957504272461,0.11432576179504395,0.04583001136779785,0.12280011177062988,lol
11,0.07697010040283203,0.44167017936706543,0.3647000789642334,0.4691300392150879,lol
49,0.10442996025085449,0.20616888999938965,0.10173892974853516,0.16585874557495117,lol
45,0.06411981582641602,0.1876509189605713,0.12353110313415527,0.17207932472229004,lol
4,0.048548221588134766,0.10617589950561523,0.05762767791748047,0.13790583610534668,lol
17,0.08027815818786621,0.4599943161010742,0.379716157913208,0.4319798946380615,lol
43,0.052263736724853516,0.08603596687316895,0.03377223014831543,0.14594793319702148,lol
14,0.11217570304870605,0.9758658409118652,0.8636901378631592,0.9321541786193848,lol
47,0.06846404075622559,0.34283995628356934,0.27437591552734375,0.33081912994384766,lol
45,0.056443214416503906,0.12003827095031738,0.06359505653381348,0.16791701316833496,lol
49,0.10432195663452148,0.207230806350708,0.10290884971618652,0.17106008529663086,lol
38,0.06815123558044434,0.16791296005249023,0.0997617244720459,0.1761488914489746,lol
5,0.07638716697692871,0.15404009819030762,0.0776529312133789,0.14186978340148926,lol
4,0.06421685218811035,0.3869929313659668,0.32277607917785645,0.45098018646240234,lol
17,0.1282041072845459,0.3619070053100586,0.2337028980255127,0.30596494674682617,lol
