keycode,HD,PPD,RPD,RRD
84.0,0.09379315376281738,0.18194818496704102,0.08815503120422363,0.1709601879119873
72.0,0.08280515670776367,0.20761775970458984,0.12481260299682617,0.26699066162109375
69.0,0.14217805862426758,0.30032944679260254,0.15815138816833496,0.29430413246154785
82.0,0.1361527442932129,0.33000755310058594,0.19385480880737305,0.28981804847717285
69.0,0.0959632396697998,0.2419273853302002,0.1459641456604004,0.2735443115234375
32.0,0.1275801658630371,0.4161360263824463,0.2885558605194092,0.3796241283416748
73.0,0.09106826782226562,0.42678141593933105,0.33571314811706543,0.414975643157959
83.0,0.07926249504089355,0.29665327072143555,0.217390775680542,0.33072972297668457
32.0,0.11333894729614258,0.3213498592376709,0.20801091194152832,0.3039822578430176
73.0,0.09597134590148926,0.24406814575195312,0.14809679985046387,0.28038787841796875
78.0,0.13229107856750488,0.08597612380981445,-0.04631495475769043,0.06644082069396973
32.0,0.11275577545166016,0.24638795852661133,0.13363218307495117,0.2087693214416504
84.0,0.07513713836669922,0.17452669143676758,0.09938955307006836,0.19234871864318848
72.0,0.09295916557312012,0.4894144535064697,0.3964552879333496,0.49254298210144043
73.0,0.09608769416809082,0.4035954475402832,0.3075077533721924,0.397324800491333
83.0,0.08981704711914062,0.3056197166442871,0.21580266952514648,0.31754469871520996
32.0,0.10174202919006348,0.2822098731994629,0.18046784400939941,0.26659297943115234
67.0,0.08612513542175293,0.20411944389343262,0.11799430847167969,0.21760964393615723
79.0,0.09961533546447754,0.35527849197387695,0.2556631565093994,0.3677680492401123
85.0,0.11210489273071289,0.24892926216125488,0.136824369430542,0.23399949073791504
78.0,0.09717512130737305,0.3673367500305176,0.27016162872314453,0.36124563217163086
84.0,0.09108400344848633,0.5135440826416016,0.42246007919311523,0.48798322677612305
82.0,0.06552314758300781,0.24511075019836426,0.17958760261535645,0.2794029712677002
89.0,0.09981536865234375,0.07689785957336426,-0.022917509078979492,0.10976862907409668
32.0,0.13268613815307617,0.251340389251709,0.11865425109863281,0.22778916358947754
65.0,0.10913491249084473,0.1559617519378662,0.046826839447021484,0.15748381614685059
32.0,0.1106569766998291,0.3787393569946289,0.2680823802947998,0.34504127502441406
83.0,0.07695889472961426,0.2872917652130127,0.21033287048339844,0.30901217460632324
73.0,0.0986793041229248,0.2258131504058838,0.12713384628295898,0.2241823673248291
78.0,0.09704852104187012,0.694838285446167,0.5977897644042969,0.6846039295196533
73.0,0.08681416511535645,0.4860970973968506,0.39928293228149414,0.4860508441925049
83.0,0.08676791191101074,0.21776294708251953,0.1309950351715088,0.22944283485412598
84.0,0.09844779968261719,0.42230820655822754,0.32386040687561035,0.396331787109375
69.0,0.07247138023376465,0.24013566970825195,0.1676642894744873,0.28105711936950684
82.0,0.11339282989501953,0.09890890121459961,-0.014483928680419922,0.08442521095275879
32.0,0.09890913963317871,0.49566197395324707,0.39675283432006836,0.47577476501464844
69.0,0.07902193069458008,0.21659040451049805,0.13756847381591797,0.23564481735229492
76.0,0.09807634353637695,0.1497364044189453,0.05166006088256836,0.1257026195526123
69.0,0.07404255867004395,0.17906713485717773,0.10502457618713379,0.19912123680114746
77.0,0.09409666061401367,0.11218881607055664,0.01809215545654297,0.10366988182067871
69.0,0.08557772636413574,0.24167537689208984,0.1560976505279541,0.23429131507873535
78.0,0.07819366455078125,0.4578976631164551,0.37970399856567383,0.44544482231140137
84.0,0.06574082374572754,0.29030680656433105,0.22456598281860352,0.3331751823425293
32.0,0.10860919952392578,0.440901517868042,0.3322923183441162,0.40526819229125977
84.0,0.07297587394714355,0.1478407382965088,0.07486486434936523,0.17026138305664062
72.0,0.09539651870727539,0.4303100109100342,0.3349134922027588,0.41959547996520996
65.0,0.08468198776245117,0.31400179862976074,0.22931981086730957,0.3170797824859619
84.0,0.08775997161865234,0.21556758880615234,0.1278076171875,0.23003888130187988
32.0,0.10223126411437988,0.7870039939880371,0.6847727298736572,0.771899938583374
68.0,0.0871272087097168,0.19931268692016602,0.11218547821044922,0.18218469619750977
69.0,0.06999921798706055,0.21971726417541504,0.1497180461883545,0.22247028350830078
83.0,0.07275223731994629,0.2865109443664551,0.2137587070465088,0.29785704612731934
73.0,0.08409833908081055,0.27583837509155273,0.1917400360107422,0.27834320068359375
82.0,0.08660316467285156,0.31685471534729004,0.23025155067443848,0.32323741912841797
69.0,0.09298586845397949,0.3932220935821533,0.30023622512817383,0.3835139274597168
83.0,0.08327770233154297,0.2370905876159668,0.15381288528442383,0.25426387786865234
32.0,0.10045099258422852,0.31436681747436523,0.21391582489013672,0.2961921691894531
84.0,0.0822763442993164,0.24061870574951172,0.1583423614501953,0.23922419548034668
79.0,0.08088183403015137,0.3686504364013672,0.2877686023712158,0.3967564105987549
32.0,0.10898780822753906,0.2019340991973877,0.09294629096984863,0.18782496452331543
67.0,0.0948786735534668,0.21803927421569824,0.12316060066223145,0.20314764976501465
82.0,0.0799870491027832,0.2250652313232422,0.14507818222045898,0.21254777908325195
69.0,0.06746959686279297,0.32645678520202637,0.2589871883392334,0.33333325386047363
69.0,0.07434606552124023,0.352949857711792,0.27860379219055176,0.359630823135376
80.0,0.08102703094482422,0.30605649948120117,0.22502946853637695,0.31551408767700195
32.0,0.090484619140625,0.37340474128723145,0.28292012214660645,0.3730459213256836
73.0,0.09012579917907715,0.2571070194244385,0.16698122024536133,0.30377840995788574
78.0,0.13679718971252441,0.10414814949035645,-0.03264904022216797,0.09594011306762695
32.0,0.12858915328979492,0.26271915435791016,0.13413000106811523,0.21650362014770508
66.0,0.08237361907958984,0.20311784744262695,0.12074422836303711,0.20103168487548828
69.0,0.08028745651245117,0.2299339771270752,0.14964652061462402,0.2196025848388672
84.0,0.06995606422424316,0.506782054901123,0.4368259906768799,0.5159406661987305
87.0,0.07911467552185059,0.23756766319274902,0.15845298767089844,0.22409749031066895
69.0,0.06564450263977051,0.16963768005371094,0.10399317741394043,0.17699217796325684
69.0,0.0729990005493164,0.5110538005828857,0.43805480003356934,0.5269393920898438
78.0,0.08888459205627441,0.18784594535827637,0.09896135330200195,0.2576298713684082
32.0,0.15866851806640625,0.3372161388397217,0.17854762077331543,0.26014184951782227
84.0,0.08159422874450684,0.13971543312072754,0.0581212043762207,0.1462392807006836
72.0,0.08811807632446289,0.41734957695007324,0.32923150062561035,0.42513513565063477
69.0,0.09590363502502441,0.18579626083374023,0.08989262580871582,0.19393038749694824
32.0,0.10403776168823242,0.5453894138336182,0.44135165214538574,0.522819995880127
77.0,0.08146834373474121,0.37628912925720215,0.29482078552246094,0.3730931282043457
69.0,0.07827234268188477,0.3528761863708496,0.27460384368896484,0.4050137996673584
78.0,0.13040995597839355,0.09170842170715332,-0.038701534271240234,0.066436767578125
